No.,Channel Type,Channel Alias,Rx Frequency,Tx Frequency,Tx Power,TOT,VOX,VOX Level,Scan Add/Step,Channel Work Alone,Default to Talkaround,Band Width,Dec QT/DQT,Enc QT/DQT,Tx Authority,Relay,Work Mode,Slot,ID Setting,Color Code,Encryption,Encryption Type,Encryption Key,Promiscuous,Tx Authority,Kill Code,WakeUp Code,Contacts,Rx Group Lists,Group Lists 1,Group Lists 2,Group Lists 3,Group Lists 4,Group Lists 5,Group Lists 6,Group Lists 7,Group Lists 8,Group Lists 9,Group Lists 10,Group Lists 11,Group Lists 12,Group Lists 13,Group Lists 14,Group Lists 15,Group Lists 16,Group Lists 17,Group Lists 18,Group Lists 19,Group Lists 20,Group Lists 21,Group Lists 22,Group Lists 23,Group Lists 24,Group Lists 25,Group Lists 26,Group Lists 27,Group Lists 28,Group Lists 29,Group Lists 30,Group Lists 31,Group Lists 32,Group Lists 33
VFO-A,Analog CH,,430.09500,430.09500,High,Endless,No,1,5K,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,0,No,Normal Mode,1,No,Color Code,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,Address Book Contacts: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFO-B,Digital CH,,144.10000,144.10000,High,Endless,No,1,5K,No,No,12.5K,None,None,Allow TX,No,Repeat,Slot2,,0,No,Normal Mode,1,No,Channel free,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Analog CH,PMR0,446.00000,446.00000,High,Endless,No,1,Yes,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Analog CH,PMR1,446.00625,446.00625,High,Endless,No,1,Yes,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Analog CH,PMR2,446.01875,446.01875,High,Endless,No,1,Yes,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Analog CH,PMR3,446.03125,446.03125,High,Endless,No,1,Yes,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Analog CH,PMR4,446.04375,446.04375,High,Endless,No,1,Yes,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Analog CH,PMR5,446.05625,446.05625,High,Endless,No,1,Yes,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Analog CH,PMR6,430.15000,430.15000,High,Endless,No,1,Yes,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Analog CH,PMR7,446.08125,446.08125,High,Endless,No,1,No,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Analog CH,PMR8,446.09375,446.09375,High,Endless,No,1,Yes,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Analog CH,PMR9,446.10625,446.10625,High,Endless,No,1,Yes,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Analog CH,PMR10,446.11875,446.11875,High,Endless,No,1,Yes,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Analog CH,PMR11,446.13125,446.13125,High,Endless,No,1,Yes,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Analog CH,PMR12,446.14375,446.14375,High,Endless,No,1,Yes,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Analog CH,PMR13,446.15625,446.15625,High,Endless,No,1,Yes,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Analog CH,PMR14,446.16875,446.16875,High,Endless,No,1,Yes,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Analog CH,PMR15,446.18125,446.18125,High,Endless,No,1,Yes,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Analog CH,PMR16,446.19375,446.19375,High,Endless,No,1,Yes,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Digital CH,,400.00000,400.00000,High,Endless,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG1,Custom,Priority Contacts: TG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Digital CH,PMR0d,446.00000,446.00000,High,Endless,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99,Custom,Priority Contacts: TG99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Digital CH,PMR1d,446.00625,446.00625,High,Endless,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99,Custom,Priority Contacts: TG99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Digital CH,PMR2d,446.01875,446.01875,High,Endless,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99,Custom,Priority Contacts: TG99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Digital CH,PMR3d,446.03125,446.03125,High,Endless,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99,Custom,Priority Contacts: TG99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Digital CH,PMR4d,446.04375,446.04375,High,Endless,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99,Custom,Priority Contacts: TG99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Digital CH,PMR5d,446.05625,446.05625,High,Endless,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99,Custom,Priority Contacts: TG99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Digital CH,PMR6d,430.15000,430.15000,High,Endless,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99,Custom,Priority Contacts: TG99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Digital CH,PMR7d,446.08125,446.08125,High,Endless,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99,Custom,Priority Contacts: TG99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Digital CH,PMR8d,446.09375,446.09375,High,Endless,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99,Custom,Priority Contacts: TG99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Digital CH,PMR9d,446.10625,446.10625,High,Endless,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99,Custom,Priority Contacts: TG99,Priority Contacts: TG208,Priority Contacts: TG2080,Priority Contacts: TG2081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Digital CH,PMR10d,446.11875,446.11875,High,Endless,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99,Custom,Priority Contacts: TG99,Priority Contacts: TG208,Priority Contacts: TG2080,Priority Contacts: TG2081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Digital CH,PMR11d,446.13125,446.13125,High,Endless,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99,Custom,Priority Contacts: TG99,Priority Contacts: TG208,Priority Contacts: TG2080,Priority Contacts: TG2081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Digital CH,PMR12d,446.14375,446.14375,High,Endless,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99,Custom,Priority Contacts: TG99,Priority Contacts: TG208,Priority Contacts: TG2080,Priority Contacts: TG2081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Digital CH,PMR13d,446.15625,446.15625,High,Endless,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99,Custom,Priority Contacts: TG99,Priority Contacts: TG208,Priority Contacts: TG2080,Priority Contacts: TG2081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Digital CH,PMR14d,446.16875,446.16875,High,Endless,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99,Custom,Priority Contacts: TG99,Priority Contacts: TG208,Priority Contacts: TG2080,Priority Contacts: TG2081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Digital CH,PMR15d,446.18125,446.18125,High,Endless,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99,Custom,Priority Contacts: TG99,Priority Contacts: TG208,Priority Contacts: TG2080,Priority Contacts: TG2081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Digital CH,PMR16d,446.19375,446.19375,High,Endless,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TG99,Custom,Priority Contacts: TG99,Priority Contacts: TG208,Priority Contacts: TG2080,Priority Contacts: TG2081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,